Name,Price,Price/KG,URL
THE FRESH VEGGIE CO Mashed Potato 400g,4.49,$11.23 per 1 kg,https://www.aldi.com.au/product/000000000000561561
Cut Watermelon Loose,7.18,$3.99 per 1 kg,https://www.aldi.com.au/product/000000000000566385
Red Onions 1kg,4.49,$4.49 per 1 kg,https://www.aldi.com.au/product/000000000000583536
THE FRESH SALAD CO Asian Style Salad Kit Mini 160g,2.99,$18.69 per 1 kg,https://www.aldi.com.au/product/000000000000588940
THE FRESH SALAD CO Green Goddess Salad Mini Kit 150g,2.99,$19.93 per 1 kg,https://www.aldi.com.au/product/000000000000589012
Baby Cucumbers 250g,3.49,$13.96 per 1 kg,https://www.aldi.com.au/product/000000000000619032
Baby Cucumbers 500g,6.49,$12.98 per 1 kg,https://www.aldi.com.au/product/000000000000619623
THE FRESH FRUIT CO Freshly Cut Watermelon 600g,6.99,$11.65 per 1 kg,https://www.aldi.com.au/product/000000000000620957
Living Herbs Chives,2.99,$2.99 per 1 each,https://www.aldi.com.au/product/000000000000628207
Living Herbs Dill,2.99,$2.99 per 1 each,https://www.aldi.com.au/product/000000000000628558
THE FRESH SALAD CO Beetroot & Fetta Salad Kit 270g,4.99,$18.48 per 1 kg,https://www.aldi.com.au/product/000000000000646143
PERFECTION Crispy Roast Potatoes with Hot Honey Sauce 400g,4.99,$12.48 per 1 kg,https://www.aldi.com.au/product/000000000000647282
THE FISHMONGER Smoked Salmon 200g,9.99,$49.95 per 1 kg,https://www.aldi.com.au/product/000000000000304580
"READY, SET…COOK! Wagyu Beef Burgers 400g",8.99,$22.48 per 1 kg,https://www.aldi.com.au/product/000000000000398515
"SPECIALLY SELECTED Pork, Pepper and Oregano Gourmet Sausages 500g",7.99,$15.98 per 1 kg,https://www.aldi.com.au/product/000000000000398596
"SPECIALLY SELECTED Chicken, Fetta & Parsley Sausages 500g",7.99,$15.98 per 1 kg,https://www.aldi.com.au/product/000000000000398597
JINDURRA STATION 5 Star Beef Mince 500g,8.99,$17.98 per 1 kg,https://www.aldi.com.au/product/000000000000398905
IRONBARK PORK Pork Mince 500g,4.69,$9.38 per 1 kg,https://www.aldi.com.au/product/000000000000398922
JINDURRA STATION Beef Stir Fry,8.92,$19.39 per 1 kg,https://www.aldi.com.au/product/000000000000398941
BROAD OAK FARMS RSPCA Approved Chicken Thigh Bulk,15.03,$12.99 per 1 kg,https://www.aldi.com.au/product/000000000000398952
"READY, SET…COOK! Marinated Chicken Roasting Pieces",10.78,$5.99 per 1 kg,https://www.aldi.com.au/product/000000000000398953
BROAD OAK FARMS Chicken Drumsticks Bulk Pack 2kg,6.89,$3.45 per 1 kg,https://www.aldi.com.au/product/000000000000399018
JINDURRA STATION 3 Star Beef Mince 500g,6.49,$12.98 per 1 kg,https://www.aldi.com.au/product/000000000000399119
"READY, SET…COOK! Boneless Chicken Kiev Creamy Garlic 700g",7.29,$10.41 per 1 kg,https://www.aldi.com.au/product/000000000000399161
IRONBARK PORK Pork Scotch Fillet Roast,25.98,$12.99 per 1 kg,https://www.aldi.com.au/product/000000000000399199
BROAD OAK FARMS RSPCA Approved Chicken Wings Bulk 2kg,8.79,$4.40 per 1 kg,https://www.aldi.com.au/product/000000000000399287
JINDURRA STATION Beef Porterhouse Steak,23.48,$27.49 per 1 kg,https://www.aldi.com.au/product/000000000000399496
"READY, SET…COOK! Marinated Whole RSPCA Approved Chicken with BBQ Seasoning",12.01,$6.49 per 1 kg,https://www.aldi.com.au/product/000000000000399525
"READY, SET…COOK! BBQ Pork Scotch Fillet Steak Honey & Pepper 400g",8.99,$22.48 per 1 kg,https://www.aldi.com.au/product/000000000000399616
"READY, SET…COOK! Pork and Beef Meatballs 420g",5.49,$13.07 per 1 kg,https://www.aldi.com.au/product/000000000000399677
BROAD OAK FARMS RSPCA Approved Chicken Breast Stir Fry,7.71,$13.99 per 1 kg,https://www.aldi.com.au/product/000000000000399698
"READY, SET…COOK! Corned Beef Silverside",13.77,$9.19 per 1 kg,https://www.aldi.com.au/product/000000000000399712
BROAD OAK FARMS RSPCA Approved Chicken Breast Fillets Bulk Pack,15.17,$10.99 per 1 kg,https://www.aldi.com.au/product/000000000000399727
IRONBARK PORK Pork Leg Roast Boneless,21.98,$10.99 per 1 kg,https://www.aldi.com.au/product/000000000000399756
JINDURRA STATION Gravy Beef,10.19,$16.99 per 1 kg,https://www.aldi.com.au/product/000000000000399759
JINDURRA STATION 2 Star Beef Mince 500g,5.99,$11.98 per 1 kg,https://www.aldi.com.au/product/000000000000399764
KILLARNEE Lamb Shanks,10.15,$13.29 per 1 kg,https://www.aldi.com.au/product/000000000000399779
IRONBARK PORK Pork Fillet,7.98,$18.99 per 1 kg,https://www.aldi.com.au/product/000000000000399780
IRONBARK PORK Pork Loin Chops,6.88,$15.99 per 1 kg,https://www.aldi.com.au/product/000000000000399791
BERG Streaky Bacon 200g,3.99,$19.95 per 1 kg,https://www.aldi.com.au/product/000000000000399798
KILLARNEE Lamb Leg Rolled Boneless,34.0,$20.99 per 1 kg,https://www.aldi.com.au/product/000000000000399840
JINDURRA STATION 3 Star Beef Mince,21.83,$11.49 per 1 kg,https://www.aldi.com.au/product/000000000000399885
JINDURRA STATION Beef Sizzle Steak,11.2,$27.99 per 1 kg,https://www.aldi.com.au/product/000000000000399904
IRONBARK PORK Pork Belly,14.91,$16.59 per 1 kg,https://www.aldi.com.au/product/000000000000399917
KILLARNEE Lamb Loin Chops,18.59,$29.99 per 1 kg,https://www.aldi.com.au/product/000000000000399946
"READY, SET…COOK! RSPCA Approved Chicken Enchilada 500g",7.99,$15.98 per 1 kg,https://www.aldi.com.au/product/000000000000400019
JINDURRA STATION Beef Blade Steak,17.75,$18.49 per 1 kg,https://www.aldi.com.au/product/000000000000400023
"READY, SET…COOK! Herb & Lemon Butterflied Pork 1kg",13.04,$14.49 per 1 kg,https://www.aldi.com.au/product/000000000000400027
JINDURRA STATION Beef Scotch Fillet Steak,30.04,$31.99 per 1 kg,https://www.aldi.com.au/product/000000000000400053
BROAD OAK FARMS RSPCA Approved Chicken Breast Diced,10.39,$12.99 per 1 kg,https://www.aldi.com.au/product/000000000000400085
