Name,Price,Price / KG,URL
Ocean Blue Smoked Salmon 300g,19.0,$63.33 / 1KG,https://www.woolworths.com.au/shop/productdetails/365407
Woolworths Loin Steaks Pork 500g,9.0,$18.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/829116
Moira Mac's Chicken Breast Supreme Sliced From The Deli,16.5,$16.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/929867
Woolworths Beef Oyster Blade Steak 600g,16.5,$27.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/675479
Woolworths 6 Beef Sausages 505g,7.0,$13.86 / 1KG,https://www.woolworths.com.au/shop/productdetails/901510
Woolworths 12 Chicken Kebabs Smokey BBQ 750g,11.5,$15.33 / 1KG,https://www.woolworths.com.au/shop/productdetails/907628
Primo Corned Beef Silverside Sliced From The Deli,,,https://www.woolworths.com.au/shop/productdetails/961813
Woolworths Cook Slow Cooked Pork Ribs In Smokey BBQ Sauce 650g,14.5,$22.31 / 1KG,https://www.woolworths.com.au/shop/productdetails/697369
Woolworths Fetta & Spinach Chicken Sausages 500g,9.0,$18.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/83727
Woolworths Thawed Large Cooked Tiger Prawns,22.0,$22.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/65031
Woolworths Pork Sizzle Steak 400g,8.0,$20.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/680992
Woolworths Beef Eye Fillet Thick Cut Steak 320g,,,https://www.woolworths.com.au/shop/productdetails/82224
Woolworths RSPCA Approved Chicken Thigh Skinless Cutlets Bone In 500g - 650g,6.5,$10.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/119370
Woolworths Beef Bolar Blade Roast 900g - 2kg,32.0,$16.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/764567
Woolworths Lamb Midloins Chops 3 - 6 Pieces 450g - 800g,26.4,$33.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/764967
Chicken Schnitzel Parmi Crumbed each,3.0,$3.00 / 1EA,https://www.woolworths.com.au/shop/productdetails/433191
